x,y
5.386,9.290
40.745,8.351
7.852,9.080
19.981,8.707
3.326,9.378
75.530,8.050
70.970,8.152
3.549,9.382
86.183,8.007
5.079,9.284
8.428,9.208
25.652,8.623
82.478,8.050
60.132,8.162
3.187,9.485
19.135,8.942
21.284,8.357
16.907,8.825
44.895,8.371
5.509,9.346
44.345,8.238
3.398,9.680
5.044,9.397
4.725,9.320
9.222,9.051
32.150,8.421
16.101,8.798
52.997,8.261
8.598,9.160
39.782,8.436
35.804,8.438
9.803,9.076
10.045,9.054
92.702,8.055
27.345,8.410
84.231,8.177
44.793,8.232
54.640,8.162
12.881,8.880
15.030,8.874
12.617,9.040
98.335,7.839
5.839,9.381
87.881,8.220
13.455,8.825
13.680,8.844
15.658,8.748
11.497,8.879
15.786,8.668
3.571,9.278
